timestamp,room,peopleCount
2025-09-30T12:20:08.000Z,Room 2.12,76
2025-09-30T12:40:07.000Z,Room 2.12,84
2025-09-30T13:00:07.000Z,Room 2.12,54
2025-09-30T13:20:07.000Z,Room 2.12,89
2025-09-30T13:40:07.000Z,Room 2.12,71
2025-09-30T14:00:07.000Z,Room 2.12,54
2025-09-30T14:20:07.000Z,Room 2.12,62
2025-09-30T14:40:07.000Z,Room 2.12,66
2025-09-30T15:00:07.000Z,Room 2.12,4
2025-09-30T15:20:08.000Z,Room 2.12,0
2025-09-30T15:40:07.000Z,Room 2.12,0
2025-09-30T16:00:07.000Z,Room 2.12,0
2025-09-30T16:20:07.000Z,Room 2.12,0
2025-09-30T16:40:08.000Z,Room 2.12,0
2025-09-30T17:00:07.000Z,Room 2.12,0
2025-09-30T17:20:07.000Z,Room 2.12,0
2025-09-30T17:40:07.000Z,Room 2.12,0
2025-10-01T07:00:07.000Z,Room 2.12,0
2025-10-01T07:20:07.000Z,Room 2.12,4
2025-10-01T07:40:07.000Z,Room 2.12,13
2025-10-01T08:00:07.000Z,Room 2.12,54
2025-10-01T08:20:07.000Z,Room 2.12,100
2025-10-01T08:40:07.000Z,Room 2.12,116
2025-10-01T09:00:07.000Z,Room 2.12,116
2025-10-01T09:20:07.000Z,Room 2.12,59
2025-10-01T09:40:05.000Z,Room 2.12,0
2025-10-01T10:20:10.000Z,Room 2.12,118
2025-10-01T10:40:07.000Z,Room 2.12,44
2025-10-01T11:00:08.000Z,Room 2.12,49
2025-10-01T11:20:08.000Z,Room 2.12,51
2025-10-01T11:40:07.000Z,Room 2.12,58
2025-10-01T12:00:07.000Z,Room 2.12,57
2025-10-01T12:20:07.000Z,Room 2.12,86
2025-10-01T12:40:07.000Z,Room 2.12,75
2025-10-01T13:00:08.000Z,Room 2.12,78
2025-10-01T13:20:08.000Z,Room 2.12,50
2025-10-01T13:40:07.000Z,Room 2.12,74
2025-10-01T14:00:07.000Z,Room 2.12,67
2025-10-01T14:20:07.000Z,Room 2.12,99
2025-10-01T14:40:07.000Z,Room 2.12,101
2025-10-01T15:00:07.000Z,Room 2.12,97
2025-10-01T15:20:07.000Z,Room 2.12,96
2025-10-01T15:40:07.000Z,Room 2.12,87
2025-10-01T16:00:07.000Z,Room 2.12,0
2025-10-01T16:20:07.000Z,Room 2.12,0
2025-10-01T16:40:07.000Z,Room 2.12,0
2025-10-01T17:00:07.000Z,Room 2.12,0
2025-10-01T17:20:07.000Z,Room 2.12,0
2025-10-01T17:40:06.000Z,Room 2.12,0
2025-10-02T07:20:10.000Z,Room 2.12,1
2025-10-02T07:40:08.000Z,Room 2.12,30
2025-10-02T08:00:07.000Z,Room 2.12,69
2025-10-02T08:20:07.000Z,Room 2.12,109
2025-10-02T08:40:07.000Z,Room 2.12,113
2025-10-02T09:00:07.000Z,Room 2.12,122
2025-10-02T09:20:08.000Z,Room 2.12,54
2025-10-02T09:40:07.000Z,Room 2.12,115
2025-10-02T10:00:07.000Z,Room 2.12,127
2025-10-02T10:20:07.000Z,Room 2.12,107
2025-10-02T10:40:08.000Z,Room 2.12,119
2025-10-02T11:00:07.000Z,Room 2.12,90
2025-10-02T11:20:07.000Z,Room 2.12,53
2025-10-02T11:40:07.000Z,Room 2.12,54
2025-10-02T12:00:07.000Z,Room 2.12,57
2025-10-02T12:20:07.000Z,Room 2.12,87
2025-10-02T12:40:08.000Z,Room 2.12,106
2025-10-02T13:00:07.000Z,Room 2.12,98
2025-10-02T13:20:07.000Z,Room 2.12,64
2025-10-02T13:40:07.000Z,Room 2.12,77
2025-10-02T14:00:07.000Z,Room 2.12,75
2025-10-02T14:20:07.000Z,Room 2.12,53
2025-10-02T14:40:08.000Z,Room 2.12,58
2025-10-02T15:00:07.000Z,Room 2.12,0
2025-10-02T15:20:07.000Z,Room 2.12,0
2025-10-02T15:40:07.000Z,Room 2.12,0
2025-10-02T16:00:08.000Z,Room 2.12,0
2025-10-02T16:20:07.000Z,Room 2.12,0
2025-10-02T16:40:07.000Z,Room 2.12,0
2025-10-02T17:00:07.000Z,Room 2.12,0
2025-10-02T17:20:08.000Z,Room 2.12,0
2025-10-02T17:40:07.000Z,Room 2.12,0
2025-10-03T07:00:07.000Z,Room 2.12,1
2025-10-03T07:20:07.000Z,Room 2.12,0
2025-10-03T07:40:07.000Z,Room 2.12,0
2025-10-03T08:00:07.000Z,Room 2.12,0
2025-10-03T08:20:07.000Z,Room 2.12,0
2025-10-03T08:40:07.000Z,Room 2.12,0
2025-10-03T09:00:08.000Z,Room 2.12,0
2025-10-03T09:20:07.000Z,Room 2.12,0
2025-10-03T09:40:07.000Z,Room 2.12,0
2025-10-03T10:00:07.000Z,Room 2.12,5
2025-10-03T10:20:07.000Z,Room 2.12,4
2025-10-03T10:40:07.000Z,Room 2.12,3
2025-10-03T11:00:07.000Z,Room 2.12,6
2025-10-03T11:20:07.000Z,Room 2.12,6
2025-10-03T11:40:07.000Z,Room 2.12,3
2025-10-03T12:00:07.000Z,Room 2.12,22
2025-10-03T12:20:07.000Z,Room 2.12,61
2025-10-03T12:40:07.000Z,Room 2.12,61
2025-10-03T13:00:07.000Z,Room 2.12,61
2025-10-03T13:20:07.000Z,Room 2.12,64
2025-10-03T13:40:07.000Z,Room 2.12,57
2025-10-03T14:00:07.000Z,Room 2.12,64
2025-10-03T14:20:07.000Z,Room 2.12,46
2025-10-03T14:40:07.000Z,Room 2.12,54
2025-10-03T15:00:07.000Z,Room 2.12,49
2025-10-03T15:20:08.000Z,Room 2.12,7
2025-10-03T15:40:07.000Z,Room 2.12,6
2025-10-03T16:00:07.000Z,Room 2.12,0
2025-10-03T16:20:07.000Z,Room 2.12,0
2025-10-03T16:40:07.000Z,Room 2.12,0
2025-10-03T17:00:07.000Z,Room 2.12,0
2025-10-03T17:20:07.000Z,Room 2.12,0
2025-10-03T17:40:07.000Z,Room 2.12,0
2025-10-06T07:00:07.000Z,Room 2.12,0
2025-10-06T07:20:07.000Z,Room 2.12,0
2025-10-06T07:40:08.000Z,Room 2.12,0
2025-10-06T08:00:08.000Z,Room 2.12,0
2025-10-06T08:20:07.000Z,Room 2.12,1
